id,2008,2009,2010,2011,2012,2013
AFG,14487.21683,3613.37333,3117.170779,14868.71643,14749.04527,10205.1549
AGO,2014.401013,9924.408216,154.4986071,4416.138856,8589.60028,759.9324391
ALB,4079.154455,16582.25541,3377.846283,7167.111603,10284.48004,5556.694056
ARE,13798.98219,10222.43894,14935.56198,6066.466767,9957.120604,9459.331641
ARG,16823.42243,4667.990667,14900.90889,9125.736618,13885.41512,19570.4245
ARM,2436.276018,19398.35665,18885.26967,6986.911192,1466.134249,1203.916336
ATA,5845.194475,9251.656697,1907.88602,638.4472333,3154.345874,8613.475995
ATF,15779.29588,14510.62051,1302.627971,4031.733517,14104.13283,14097.84287
AUS,10484.06253,18478.85348,7907.745898,11925.65764,4040.560921,15782.71156
AUT,17066.56821,7743.586063,16997.07113,19867.93998,2477.20594,2205.007675
AZE,4256.856558,13886.89549,10090.79102,18556.02752,5097.328302,16801.19175
BDI,16340.6175,12452.59964,19868.56921,19763.04628,3744.818519,9728.353457
BEL,775.5729879,14255.32836,3131.610093,7820.439748,13736.2555,7269.737397
BEN,10398.38265,12632.81533,2454.351843,6543.050047,5856.980355,3952.46377
BFA,4597.819966,19947.96714,11986.41875,17584.80791,7717.327633,8583.892123
BGD,3994.420411,8059.495403,9522.204349,1586.905903,7246.98164,30.88814383
BGR,17824.69086,5734.779583,17176.1038,18668.76988,7888.000389,5753.752527
BHS,2984.739909,5013.861927,9667.645687,11994.5669,12843.0455,13141.63628
BIH,2846.568185,4908.104228,11318.23774,5851.562727,16485.46519,1003.776644
BLR,16490.11889,7566.019193,9696.218036,16139.4359,9661.942589,14946.55684
BLZ,8333.282205,19803.26864,9990.767462,2004.959728,12580.8413,3371.097849
BOL,9803.513257,12824.64509,19892.99565,2721.581067,16457.71772,14409.29553
BRA,13315.39592,12016.32813,480.0115084,15071.24855,5371.735149,9407.906701
BRN,7005.155233,17225.74567,19312.61198,15361.34715,15952.09084,2070.771005
BTN,10069.94365,7951.042073,7342.375091,5063.202768,12606.80119,11058.22457
BWA,8726.898481,15757.27074,4943.828707,19233.47988,9320.18554,10754.00287
CAF,10335.70282,15074.39992,14174.12738,19059.61237,11382.17834,17613.01408
CAN,14811.00495,12595.6823,4263.275538,6687.602095,2065.366568,7101.037581
CHE,1735.98672,2285.864879,17653.75125,7069.708129,9824.403849,1028.259568
CHL,17381.4514,18629.49618,7332.258057,12020.56119,13317.56001,1387.810527
